var1 var2 fst pval
NMNL GOOD 0.00292 0
MENO GOOD 0.00247 0
WTFB GOOD 0.00199 0
BBDN GOOD 0.00341 0
PSTG GOOD 0.00061 3e-04
FOXR GOOD 0.00419 0
IGPT GOOD 0.00473 0
EPFT GOOD 0.00163 0
NAUB GOOD 0.00053 0
MNST GOOD 0.00314 0
EKRP GOOD 0.00089 0
MSKG GOOD 0.00375 0
GOOD GOOD 0 0
LTTV GOOD 0.00406 1e-04
CXVL GOOD 0.00154 0
LSRF GOOD 0.00331 0
RILY GOOD 0.00576 0
NMNL LTTV 0.01005 0
MENO LTTV 0.01051 0
WTFB LTTV 0.0087 0
BBDN LTTV 0.00999 0
PSTG LTTV 0.00573 1e-04
FOXR LTTV 0.01153 0
IGPT LTTV 0.01325 0
EPFT LTTV 0.01028 0
NAUB LTTV 0.00891 0
MNST LTTV 0.01074 0
EKRP LTTV 0.00924 0
MSKG LTTV 0.01306 0
GOOD LTTV 0.00406 1e-04
LTTV LTTV 0 0
CXVL LTTV 0.00663 0
LSRF LTTV 0.01211 0
RILY LTTV 0.01251 0
NMNL CXVL 0.00212 0
MENO CXVL 0.00235 0
WTFB CXVL 0.00168 0
BBDN CXVL 0.00218 0
PSTG CXVL 0.00435 0
FOXR CXVL 0.00571 0
IGPT CXVL 0.00658 0
EPFT CXVL 0 0
NAUB CXVL 0 0.00257
MNST CXVL 0.00271 0
EKRP CXVL 0.005 0
MSKG CXVL 0.00642 0
GOOD CXVL 0.00154 0
LTTV CXVL 0.00663 0
CXVL CXVL 0 0
LSRF CXVL 0.00257 0
RILY CXVL 0.00727 0
NMNL LSRF 0.00011 0
MENO LSRF 0 0.45649
WTFB LSRF 0 1e-04
BBDN LSRF 0.00048 0
PSTG LSRF 0.00189 1e-04
FOXR LSRF 0.00019 1e-04
IGPT LSRF 0.00827 0
EPFT LSRF 0.00152 0
NAUB LSRF 0.00145 0
MNST LSRF 0.00045 0
EKRP LSRF 0.00732 0
MSKG LSRF 0.00759 0
GOOD LSRF 0.00331 0
LTTV LSRF 0.01211 0
CXVL LSRF 0.00257 0
LSRF LSRF 0 0
RILY LSRF 0.00336 0
NMNL RILY 0.00461 0
MENO RILY 0.00231 0
WTFB RILY 0.00334 0
BBDN RILY 0.00522 0
PSTG RILY 0.002 0.00089
FOXR RILY 0.00158 2e-04
IGPT RILY 0.01377 0
EPFT RILY 0.0065 0
NAUB RILY 0.00604 0
MNST RILY 0.00534 0
EKRP RILY 0.01118 0
MSKG RILY 0.01145 0
GOOD RILY 0.00576 0
LTTV RILY 0.01251 0
CXVL RILY 0.00727 0
LSRF RILY 0.00336 0
RILY RILY 0 0
